,name,artist,track_id,danceability,energy,loudness,acousticness,valence
140,It's Time,Imagine Dragons,6BtmXhTJMM9sBTHeYYASGz,0.656,0.884,-4.748,0.0162,0.86
141,I'm Yours,Jason Mraz,1EzrEOXmMH3G43AXT1y7pA,0.686,0.457,-8.322,0.595,0.718
142,birthday party,916frosty,0LiWeqtbRvTJLZ3tcGe96p,0.664,0.621,-8.504,0.264,0.239
143,Round n Round,Landon Cube,5497yyygT4ijwXH4swmQ86,0.581,0.474,-10.554,0.0666,0.185
144,Nightmares (feat. Lil Skies),Yung Pinch,0qy1xNhQvnRhEpvKxdXYUR,0.579,0.698,-5.701,0.107,0.302
145,Hell n Back,Bakar,1n21ZBt3vM1u4r8vkhlub7,0.584,0.684,-4.314,0.312,0.72
146,Urself,iann dior,0EcKn4nTp9tbdVtDsgMi07,0.739,0.486,-7.517,0.452,0.74
147,Searching,iann dior,1tV2yuoRQnyaNLw7am5YBI,0.745,0.704,-7.167,0.24,0.0873
148,RACECAR,Aries,7JdarpX08FLhmfNZpxqgUO,0.708,0.729,-7.618,0.0675,0.562
149,gone girl,iann dior,3iH29NcCxYgI5shlkZrUoB,0.677,0.714,-5.637,0.162,0.355
150,Good Things Fall Apart (with Jon Bellion),ILLENIUM,6pooRNiLyYpxZeIA5kJ5EX,0.643,0.594,-5.453,0.0128,0.442
151,Off the Land,Kodak Black,4i32ns3wiz22LjTDkoED08,0.767,0.397,-9.798,0.193,0.477
152,Santeria,Sublime,2hnMS47jN0etwvFPzYk11f,0.682,0.765,-5.021,0.0268,0.567
153,Deep Wounds,Polo G,1EXgignL7eG2MHErBEAD5d,0.661,0.572,-7.101,0.0149,0.339
154,I,Lil Skies,4ZT9FnbFu1PaBfV3itxiqT,0.649,0.453,-7.28,0.627,0.431
155,Strings,iann dior,2VdWzhJDjWaELCEhwyO8Q4,0.797,0.566,-6.654,0.128,0.392
156,Mixed Emotions,Lil Tjay,375PG35fYzLTG6jkrJbegL,0.644,0.502,-9.57,0.394,0.431
157,Gassed Up,Nebu Kiniza,6JjEVlMkfHWMeYavkEYzNO,0.798,0.568,-9.072,0.0213,0.45
158,Leaked,Lil Tjay,0W64NfLrIsRTAFObko6uJx,0.51,0.619,-7.918,0.801,0.321
159,One Take,Lil Tjay,4uu7gKd1PffC7QEMcMk0Ro,0.76,0.615,-9.36,0.072,0.351
160,Graduation (with Juice WRLD),benny blanco,6cjSh516BbrNUs213jDAGm,0.731,0.65,-5.286,0.107,0.605
161,hot girl bummer,blackbear,7aiClxsDWFRQ0Kzk5KI5ku,0.778,0.559,-7.109,0.128,0.678
162,"Left, Right",Lil Tecca,3gOh1UDmnGWN4wrEcaulri,0.741,0.415,-6.775,0.318,0.404
163,Partna In Crime (P.I.C.),Yung Bans,2zG0wI6aIckEn3hHqdMpaJ,0.711,0.234,-15.592,0.00114,0.257
164,Better Off (Dying),Lil Peep,1tlrTC3x7viJ1U30oOFGdF,0.521,0.766,-4.693,0.00835,0.196
165,Shots,Lil Tecca,5xjei7JnROsAzLY2a7RdZU,0.829,0.582,-5.721,0.525,0.51
166,Lil Peep Flexin',Ronen,4d1XU9FGT4CT6vmSMUsX4u,0.362,0.616,-10.581,0.536,0.0765
167,untitled 01 08.19.2014.,Kendrick Lamar,2Y8Ie3rOjvkquqzEj7dLkV,0.58,0.579,-11.705,0.322,0.125
168,Get Over It,OK Go,0SLOiJClXkAZluClYpke95,0.389,0.767,-4.314,0.00127,0.544
169,We Good,Col3trane,08ghP1DR1JLLvKVbhsuwCy,0.629,0.436,-9.136,0.381,0.691
170,Million Bucks,Smallpools,6Hx7kdHB9kGdxnw2EwSx2V,0.608,0.865,-3.961,0.00602,0.568
171,Kung Fu,YBN Cordae,3i01Zk9c0FQ5HA1WJjflXI,0.876,0.608,-6.019,0.0227,0.258
172,Komorebi,Catching Flies,287rRN24HNx4pNs0rwNQt8,0.568,0.489,-11.22,0.716,0.0387
173,Kings of Summer - Single Version,ayokay,4Tid4MwqgR1CfKCun3tFon,0.734,0.661,-6.705,0.222,0.253
174,KIKA,6ix9ine,6Gy7rXB6Ku5vIWC7WGWsl3,0.745,0.715,-3.368,0.128,0.342
175,Kamikaze,Lil Mosey,1iPBD72u3nAyFEeardYuBV,0.792,0.571,-7.539,0.301,0.556
176,Jungle,Petit Biscuit,6MSd4awjGA81m2HP863Ip3,0.363,0.655,-6.582,0.302,0.0581
177,Juke Jam (feat. Justin Bieber & Towkio),Chance the Rapper,3eze1OsZ1rqeXkKStNfTmi,0.505,0.397,-9.349,0.716,0.558
178,It's Strange (feat. K.Flay),Louis The Child,2Th9BGKvfZG8bKQSACitwG,0.837,0.492,-7.792,0.371,0.417
179,It Wasn't Me,Shaggy,0OaunKfsxkgBvPv68jBbmm,0.852,0.604,-4.569,0.0503,0.667
180,It Ain't Safe,Mike Stud,2D9vXwPW1U7az2AYDvZsej,0.718,0.457,-8.252,0.445,0.496
181,It Ain't Me (with Selena Gomez) - Tiësto's AFTR:HRS Remix,Kygo,2jRGYG8U5bJzWOH6FLuzvO,0.713,0.658,-5.362,0.0161,0.539
